GeneID,4EFB,5408,5728,5B57,56E0,5411
0.025_4EFB_4EFB.02.1.gene,0.0492120010347319,3.074734176216404e-13,0.001030330287340202,3.3693384920155e-06,1.967275483766923e-06,9.461158715726133e-10
0.025_4EFB_4EFB.02.10.gene,0.0370990042488809,2.110697965134527e-07,0.01680704674561715,3.038237815696399e-05,4.193169392227189e-05,2.220858513554447e-05
0.025_4EFB_4EFB.02.100.gene,0.03470818618669162,1.025471857378584e-11,0.0005783433906722412,3.32244135228189e-06,2.606489176809142e-06,2.783803316852097e-06
0.025_4EFB_4EFB.02.101.gene,0.03373123310720851,8.052321637823252e-11,1.877227449545206e-06,3.652667537190049e-05,1.366185366506476e-07,6.155484087696688e-07
0.025_4EFB_4EFB.02.102.gene,0.02529727541592919,8.328472094559578e-05,3.616449554145757e-08,3.983356664979299e-19,7.559314171915578e-07,3.518898245143115e-07
0.025_4EFB_4EFB.02.103.gene,0.01087867435689596,1.908236632820243e-07,0.0006475738908722533,1.401180444853651e-05,3.04377943434062e-06,8.535190253736786e-08
0.025_4EFB_4EFB.02.104.gene,0.02557567936766376,4.867915378543788e-06,0.0002574016327514533,2.000000211100454e-07,1.151329653093339e-16,1.122745010100094e-08
0.025_4EFB_4EFB.02.105.gene,0.0298919466379002,2.430943491074983e-16,0.002667969422953074,1.088653731375267e-05,7.938669605122783e-08,4.607620663789853e-11
0.025_4EFB_4EFB.02.106.gene,0.02533162622337966,3.710597707600436e-09,0.0004901078599355787,2.129667687044426e-06,7.31151652682799e-07,1.1315393797573e-05
0.025_4EFB_4EFB.02.107.gene,0.02636460798411115,5.47831094118961e-10,0.001039719037847587,5.127572155067302e-07,3.628619375373576e-07,1.10999996279906e-07
0.025_4EFB_4EFB.02.108.gene,0.02815447567225441,2.196516830685828e-10,0.001380972549028994,4.904206788802746e-06,2.935624653993461e-05,3.283157412417296e-11
0.025_4EFB_4EFB.02.109.gene,0.02515381316406286,3.334830888574894e-13,3.628187187056355e-06,0.0001288204683143687,9.33876427143924e-05,0.0002236433481351743
