4EFB,5408,5728,5B57,56E0,5411
2.600551861008458e-05,1.155555401130707e-06,2.956675481827128e-10,2.607525538786391e-26,2.250847694740649e-06,0.06477824427046501
2.090011890874813e-06,2.667383128879693e-12,7.07032359974592e-11,6.32100931064134e-12,5.522261799499893e-06,0.0001292952589717834
0.0001129462269924986,1.093847651667539e-07,6.920581625809916e-08,1.16178211115651e-09,3.563168380229256e-05,0.05817377336781119
1.630592785315228e-09,6.291031441897589e-11,4.724414501555603e-07,5.665665471276169e-05,1.325876898922105e-09,0.05018169671956461
3.974103290927911e-05,3.020592577190125e-06,1.63273363280781e-08,0.005121452880549216,2.956858776177319e-05,0.05241825310426339
6.61942177173157e-05,3.09303888710204e-14,1.967455600132239e-06,8.366808472863307e-14,9.265824414505482e-06,0.05184406826060443
1.765954470863098e-06,3.336932711355686e-14,2.977785761768677e-09,6.802561020974568e-25,2.347770090831882e-05,0.05471484582887244
1.790258192859916e-05,1.736837222434257e-10,1.784997063309398e-07,5.830047242964003e-10,8.738708317038457e-07,0.05274752715902459
3.339769288258636e-05,1.001936489687864e-10,8.128690807741262e-06,6.701309571279094e-10,8.731257903485543e-05,0.05790142751901579
9.673856769148768e-06,6.887224840326658e-07,1.917667071160195e-07,3.930513372609492e-09,7.768703092081156e-07,0.06188048002980103
1.133567271189556e-05,1.475482972161738e-13,1.620308126889596e-07,1.71963190248936e-10,2.311459983984003e-07,0.05041340812506231
2.689670872884993e-05,2.797971756808399e-05,1.733090589687173e-08,8.353648477986161e-06,6.375541144706841e-05,0.05088021251236709
2.205420388454557e-05,5.374096038163511e-10,1.738109926263482e-11,1.106213186000413e-34,2.597668439757103e-07,0.05931294464721813
1.682447334076652e-05,1.619928748362189e-11,7.421133129205048e-10,1.09532834557738e-13,1.265755762986746e-06,0.05211729783285758
0.0002431512097099748,0.0001548513628718995,3.635629398460714e-07,8.891362117945901e-09,1.082332575031013e-05,0.0530984798381833
2.727133073774142e-06,2.330462230678289e-09,1.031420518626565e-07,2.379010102222494e-15,1.436517684080661e-06,0.05332491453352162
0.0001433770296811744,2.125567771999984e-12,1.021028979674115e-07,5.652291263345998e-13,1.200199485952996e-07,0.06912478932577398
3.419400052506286e-06,3.119100624089846e-16,1.057539809441183e-07,6.729162301570689e-09,3.672224476545012e-06,0.01529685513562039
3.925848927134927e-11,1.132897658757592e-10,1.307975574291369e-05,7.769499443958675e-11,6.285057886488455e-06,0.0501156128167973
1.15647950186581e-09,3.578957413949661e-15,5.073807604656336e-07,1.661714158067801e-05,2.043456680577401e-06,0.05815086964791864
3.614017038636087e-07,1.255543474754237e-05,4.440331701869427e-06,9.677502646896104e-08,3.384456248713391e-05,0.0517075484296967
3.943970647588356e-09,4.169033389446419e-09,1.648178485844638e-08,1.454905937124072e-13,1.066671393817434e-06,0.06046458237142129
2.205348123290534e-07,1.707911185010358e-10,1.053510044098285e-07,1.60416206180977e-33,1.085793830525449e-06,0.05445873819435861
2.923033474286428e-05,9.412605091753391e-07,2.611711201609064e-07,7.510956973990038e-09,3.894800993163978e-05,0.05714553328220905
1.482616055522091e-06,1.173312287776431e-18,2.5093938156862e-08,6.476521733488405e-09,2.155414165166947e-06,0.0559925552720261
6.262445746695814e-10,7.143964727935125e-13,5.686045131533502e-06,3.97081697381193e-06,2.26097124765792e-07,0.05481692005544618
3.193868963374965e-05,2.322102056245238e-07,1.194966958683055e-06,2.856111341770046e-13,0.0001364179988616717,0.0536933252133602
1.03586314132375e-05,3.662826796081441e-05,9.101391410669816e-10,2.725586072427695e-14,0.0003819682971327904,0.06339963697462668
9.777138069622151e-07,1.399663011070427e-17,6.30917893896176e-11,3.084214294833623e-41,2.354654652255367e-05,0.05368181645784478
0.0004989269305206867,3.910725706074959e-06,9.559924486817053e-08,2.821875905041365e-11,9.676228049706036e-05,0.05349051107378167
4.027760286279225e-05,3.539302980781857e-12,5.059437304782405e-06,1.096322181635819e-09,2.519654394986625e-05,0.0004512400541584501
0.0002618089991163879,1.071052157543521e-06,2.232358596949484e-06,2.815599971336108e-08,0.0001911042801687909,0.05118783324364869
7.271184426793538e-05,4.281424588965561e-06,1.571918036762985e-07,1.010946204005091e-11,8.84015336303675e-07,0.05067976041103781
2.981961313343717e-07,2.771736550992763e-08,4.363826501798871e-08,1.803323580718783e-13,2.174518754209517e-07,0.05229909768330574
1.426604777398976e-05,6.983115260305908e-06,2.059846991584672e-06,1.385817665734297e-12,1.838052788211372e-05,0.0501681129780471
1.214599621465997e-05,4.952838736279767e-05,1.869148354622835e-08,1.570148965618877e-20,2.128511357883099e-05,0.05899553274335328
3.645838535801034e-05,6.139433679192431e-08,1.127461985042065e-08,4.309687566371717e-20,1.083865162487034e-06,0.05114849236573059
9.791400145372747e-10,9.678097036021717e-08,1.253158500091101e-05,3.885893997528566e-09,1.309462471882138e-06,0.05279267550368652
1.581761461722478e-05,2.070961567656506e-09,5.952028109144761e-07,1.336766753173792e-06,2.646962003972744e-06,0.06029360813368123
5.194615388866456e-07,2.372632931090121e-06,3.666840861638006e-06,2.155185065481616e-11,3.100744474501228e-05,0.05474267510780014
8.497446261270088e-07,1.936357087267629e-10,9.311149344739578e-10,3.287783743217152e-12,1.232518420676464e-06,0.05069792609651295
3.021408705724247e-08,4.132067124771401e-14,1.2521091234014e-07,5.481361925553439e-14,3.189848208718172e-07,0.05687101914126876
4.060809674320787e-05,3.766859594442327e-14,1.201918509031815e-09,3.666599391505471e-16,4.909883254568633e-06,0.05666548429847686
0.0001438290551333203,2.012407102987716e-06,1.40427022780271e-07,6.6467581628866e-11,2.268877088600442e-06,0.05677237146160336
3.328645792114204e-05,1.483022206956421e-12,5.507105735228709e-07,1.621787873227918e-10,7.174468094308265e-05,0.05174842485377187
3.812045474977063e-08,2.896376281980496e-07,2.119207244699181e-10,4.095394651093616e-33,7.052280931873259e-06,0.0502467181118156
0.0001220317587384621,2.156873135287276e-09,4.135273803877082e-08,2.001056204487523e-08,5.527975270959476e-05,0.05162145266204691
2.111179618963155e-06,1.265428102129687e-07,2.019493320488815e-07,3.996933412817219e-09,2.061861079712191e-05,0.05554085151279818
6.317966324481361e-08,9.907218783330259e-07,4.939062276338606e-07,9.349970098220366e-08,7.966740690334851e-06,0.05863355067196475
0.0001442214133657459,1.135001093755723e-13,2.155948754733606e-05,2.083351771917345e-11,0.0001911531794628037,0.05331868187184092
6.829167522852534e-05,7.610163930694494e-13,1.924694753548502e-07,1.61958733436442e-06,3.678580426154372e-05,0.06447458298492964
4.489285411563479e-06,3.162543278774758e-07,6.396655673847788e-08,1.891548622220765e-09,1.837156450129576e-06,0.05024998059334261
2.391663324803602e-08,1.138040474392123e-16,1.189239410475958e-07,1.841629047783238e-10,3.979529358489371e-06,0.06070733924651552
0.0001582760829078999,0.0001160317003511538,4.822579806579768e-08,3.554973867989945e-07,2.794760111466966e-05,0.05526889112534008
2.934050397594042e-05,7.87127798070652e-14,1.759819501018724e-08,8.293708587359532e-16,6.863191943181634e-05,0.05036383100006642
4.368813874396082e-05,2.251281638965518e-14,9.713695021504676e-07,1.223481308361129e-09,5.686688967466438e-05,0.05152857028083659
1.432841778896012e-09,1.493153418376592e-12,2.055208770198152e-07,2.059213903055567e-10,8.729768805358018e-08,0.05910972268464951
1.250774221922401e-05,8.293489787361776e-09,6.443150084659793e-09,5.474682049822967e-11,1.803740980149424e-06,0.05712492958333927
2.111674003927131e-16,1.448393076456282e-12,4.848680315784093e-07,1.078680577179272e-08,4.361696690926621e-06,0.001967798200735456
1.972446518949323e-10,4.891481902534689e-17,1.409254314463354e-07,3.671210265267802e-10,1.742433128014384e-07,0.0596591529892121
5.422386725385425e-08,5.335384858803548e-14,1.230186663797836e-07,1.16469625286031e-09,0.0001316361755813294,0.008300090612520782
6.175148769544863e-05,3.83488863594688e-07,5.297253758800018e-08,3.701989457838577e-22,1.632425781446024e-05,0.05256766781983802
3.113626561867966e-07,1.897121759668319e-15,9.393817743814867e-08,2.252123728606028e-28,5.554191126203109e-05,0.05109778320070421
2.388570348044728e-05,1.662241784115089e-10,6.744999362128813e-09,2.225298077710502e-06,3.281268955792121e-06,0.05656208874301039
1.493737861579527e-08,7.945394122189313e-10,1.952613834398261e-06,2.907660919596853e-06,3.422152181276219e-06,0.05785817455658299
1.174483212107226e-06,8.542330406348104e-08,3.513447337364084e-06,5.390456355094473e-08,5.00758377457731e-05,0.05716418205295924
1.342518273024472e-05,9.12758061728148e-11,1.004231453307846e-07,2.627858638545464e-09,4.874287867693911e-06,0.05693302194488356
0.0001000441926716349,9.379752640147771e-14,3.496057956919258e-08,1.747950729161496e-10,2.363300794801526e-05,0.01433532783038546
0.0002163618971937034,8.365416369993494e-08,4.893329105614897e-07,2.159627558901868e-20,1.169878739199386e-05,0.05293894877689993
