4EFB,5408,5728,5B57,56E0,5411
0.0002084762668923142,1.043695741958991e-06,1.041350107368209e-06,0.05569512807194951,4.861046917636947e-05,6.728497017404703e-07
0.0001977582236424586,2.085519667163372e-12,4.517419909581177e-08,0.05310349026644968,7.151193084416442e-05,3.224456397155838e-05
1.353807003236228e-34,6.418307712854469e-17,6.773911185530212e-20,0.05018523513293938,8.667132715184038e-22,3.441461189241382e-12
4.948807161985844e-07,2.966923926794249e-11,9.082238099741036e-09,0.06306901131626465,4.167802893222716e-07,9.40381658504759e-05
4.527178973185057e-09,6.750198989101605e-09,6.889448621884428e-10,0.05270204103823663,1.598216848700743e-06,4.329923796083503e-06
1.148938674545569e-06,1.393152104970953e-08,1.563425154874185e-07,0.06992406548929489,9.166408937998421e-07,3.690721439152039e-07
3.146276923298342e-06,2.173762133079309e-06,1.841557872964947e-08,0.05195609842306886,1.595507063351171e-06,5.271936379673402e-06
9.44022426092895e-06,3.479713797136704e-10,1.037296835238783e-09,0.0534973634095942,1.633572492588436e-07,0.000187814182386327
5.313815131918264e-05,2.973134247563921e-10,1.329655846289127e-06,0.05721107857774224,3.953990701624666e-05,3.750291441763721e-05
1.534257380805291e-05,4.054322789531093e-14,7.902973019191969e-08,0.0536936634264687,5.263101128540408e-10,4.371575513150798e-07
6.440875433913139e-09,1.499743135416788e-11,1.786480232442887e-06,0.05092163765040422,3.622077166870389e-05,7.6272258797615e-08
3.649830779220281e-13,8.375149126280956e-09,2.356909476053327e-10,0.05980783346028123,1.796822021075945e-09,1.061892669575228e-05
6.537682762830552e-08,2.101508901367423e-13,4.574302117624193e-08,0.059473085236269,3.131593217935349e-05,3.42771966561142e-06
9.39036998604605e-09,1.073732218493013e-10,2.204808178392975e-08,0.06538613543645617,1.180549830312638e-14,1.187628134907317e-05
1.364295508771395e-12,2.075368862120065e-08,4.546654291918084e-10,0.06716548414741008,3.110338024265586e-08,1.613064782086716e-09
8.616749513058383e-05,3.286878443642711e-18,1.797485628971062e-10,0.05299476912427494,3.521326078016962e-13,1.596248952490127e-07
5.11108660153009e-08,1.40577855926891e-13,1.576043570223528e-07,0.06465079310396206,3.380781854404896e-06,3.583068347316916e-07
2.39637469371811e-10,1.803976757152825e-12,1.311707141028293e-08,0.05800920605456841,1.650202541345024e-06,1.056145752553523e-05
3.93417360499384e-05,1.997104644532379e-06,8.438496205671337e-06,0.05443701188048528,5.453781034220026e-09,1.832032375516205e-05
1.828452276105677e-06,4.342866714032491e-08,2.206238108640744e-11,0.05031029188897906,3.395686031260142e-09,9.669103324512581e-05
2.316379550726811e-05,1.573977569738e-07,3.777106263351489e-08,0.05619271885031615,9.098736951036608e-06,5.245060837786102e-05
1.417835994018918e-09,3.016830981911384e-07,1.54836215113989e-08,0.05098858642667525,1.254537702516385e-08,9.131027187988173e-06
3.061207039021995e-07,3.428942651865382e-08,5.486300606294598e-07,0.05127802138677719,2.031434503763554e-06,3.142274154084649e-07
1.10444511603798e-07,2.825890776237249e-13,4.793974430299414e-11,0.05739295069509039,9.725933348982132e-14,4.866951583858247e-07
3.329631425029853e-05,0.0005790830438008479,0.0002730058946365411,0.05013274227875457,2.630220230074937e-05,1.972773819817167e-05
1.00355639643304e-17,2.73993042971059e-13,1.12003584262762e-06,0.05502423079423373,1.200280929275889e-18,2.139465517767438e-07
0.0001155704604233365,1.723967782163677e-06,3.478961853235236e-07,0.0001202687402716102,2.29815556893944e-06,0.0001442415144622149
2.068013555536983e-06,0.00090314565201283,9.858443808633755e-06,0.05474532323738548,5.258845666754994e-06,8.71444090798329e-06
2.347614527400139e-10,1.164239070715344e-07,4.346407893588359e-06,0.05574489728492148,1.008604672220202e-05,6.54082955937577e-06
1.603722569546763e-06,2.256691504782069e-12,2.589369669000296e-05,0.06581814026118911,0.0001219901594339364,6.505973752901262e-07
3.607220008994571e-20,1.496064352799557e-08,1.257888263614476e-08,0.05764116080061097,1.045045515904988e-12,1.165063963573849e-08
2.498521153211339e-07,7.008401062397371e-06,2.702081644747026e-07,0.05335768398785765,2.347854556590776e-05,1.457568864211569e-05
4.723553310910623e-05,1.439375569368526e-08,4.091862438694364e-06,0.06008268289056849,0.0001413247283349831,1.821607147888485e-05
4.409293126702965e-06,4.169992665205072e-11,5.130315262274547e-11,0.05720306333916102,2.971583613402028e-07,5.56420228440685e-06
4.994180347243338e-10,9.496846980912603e-15,2.342438645956157e-09,0.05672243880377355,3.742061734552179e-11,7.633390582928299e-09
6.724855390964743e-05,3.155776602354763e-08,3.586497004683457e-06,0.057948461920222,4.768654464288323e-05,6.660465431001897e-05
2.853665904016426e-07,2.083449407110361e-05,2.445848834125842e-07,0.05470141617231284,1.899503738328002e-05,0.0002024083015225109
0.0002387702540561283,8.521923484718989e-08,3.935318984452351e-08,0.06325400106309233,5.521538565396275e-06,1.460131892702526e-08
1.316077781211304e-05,0.00083838436425995,2.158977302982895e-06,0.05918395297859985,2.891269433556272e-07,5.42115138001484e-05
1.98957040915796e-09,1.410101247500067e-09,5.480380276280037e-07,0.05342837844509935,1.23377841254733e-06,6.522743774893846e-06
2.576570433299809e-10,1.202827385064528e-09,1.715027874903013e-08,0.05342001122721752,1.481903890191647e-07,1.136962662866181e-05
0.003361011523792171,4.000933992789349e-05,1.448182789408279e-05,0.05011799740038903,5.360803791389244e-05,0.0002229171095182511
6.282461379276162e-07,0.0007500900708804277,3.682730796758644e-06,0.05206532937298507,3.528814440807446e-09,3.790785277635124e-05
2.010111823108066e-13,2.413714244166324e-08,1.63912465558474e-12,0.05421563026210077,3.270814316248915e-07,1.223592713356145e-05
2.693344583158177e-08,9.646185255981096e-16,3.238872465724094e-11,0.05002235777214232,3.908557866129199e-09,9.698990788642145e-08
0.0001190057821835728,3.081986519220475e-14,4.067901188932146e-08,0.08538788721646821,9.4834014402601e-13,5.798003135483121e-07
2.293398993008071e-06,1.254463619699133e-05,1.342394424321495e-08,0.0689666735270232,1.206541820959377e-06,2.681136875206863e-05
2.663869436280972e-05,1.478839548579178e-06,3.476130966905442e-08,0.05211767189562003,1.170209008926287e-06,8.629911758119174e-06
4.634192765393255e-12,1.280276389689908e-11,7.76208571638688e-07,0.05357070787742199,1.737846881447472e-11,0.0006635011121834063
1.052630811241112e-08,1.762287344309453e-07,7.528794798506025e-07,0.05085196563559968,1.587578408846611e-06,1.881386980513669e-05
0.001434684428303643,7.303277329805649e-05,2.324187779156763e-05,0.0536558373781575,3.35340736138325e-06,0.0001813946495947006
1.504959992061251e-19,9.123895890990808e-12,2.280219110226095e-11,0.0540382521785459,5.518107694918256e-15,5.339181571085477e-08
5.75118615634237e-05,3.135759220654514e-13,5.512277043056536e-05,0.05683533577784197,6.834022648792489e-05,0.0001044732589528513
1.339724821492594e-09,3.911654696896469e-07,5.777876689701133e-13,0.05049956198005948,1.022495682795962e-08,1.053723471526442e-09
4.953207495733646e-09,1.792180417927462e-07,7.313218231130258e-08,0.05224992319743198,9.900648270879764e-06,2.439097007804767e-05
