GeneID,4EFB,5408,5728,5B57,56E0,5411
0.1_5B57_5B57.2.1.gene,0.000216128946115506,8.054274989845665e-05,0.0001007613930157848,0.1033092695987033,3.815570258800611e-05,0.000996226288348069
0.1_5B57_5B57.2.10.gene,4.694980391552756e-05,9.213304430688361e-05,2.816059593482275e-06,0.100530133095577,7.5624254806436e-06,0.0001010674392167326
0.1_5B57_5B57.2.100.gene,2.284082366717439e-05,1.596827708903096e-05,1.469526389832036e-05,0.1022448874683562,5.698281755751516e-05,0.0004573649532012855
0.1_5B57_5B57.2.101.gene,7.896968526203487e-06,4.909316051139151e-06,2.780744880458501e-07,0.1156059590597266,1.25220273458948e-06,0.0001136446201535046
0.1_5B57_5B57.2.102.gene,7.613449429984239e-05,0.0002875490914117404,6.874488341386398e-05,0.102423658679167,0.0001721638795160938,0.0001891781091147295
0.1_5B57_5B57.2.103.gene,0.0001061062184303521,1.522106434636572e-05,4.784219909232973e-05,0.102764968676639,3.656947886481103e-05,0.0002847361837948994
0.1_5B57_5B57.2.104.gene,5.173646765917828e-05,4.909714698165427e-05,2.213106540725837e-05,0.1044927198049882,5.400341190927799e-05,0.0003917046651679269
0.1_5B57_5B57.2.105.gene,0.0003237538724783244,5.534046737827135e-05,2.737491994434799e-05,0.1032731275770755,4.17480519901797e-05,0.0001397090679177701
0.1_5B57_5B57.2.106.gene,2.524148024691746e-05,4.745573755338237e-05,7.70268609541999e-05,0.1049781451958481,1.306816527667654e-05,6.565705032807316e-05
0.1_5B57_5B57.2.107.gene,0.0005503042465747176,0.0008170051499466714,0.0004740098132669645,0.105366832783604,0.0001430367211868107,0.001253091833849514
0.1_5B57_5B57.2.108.gene,0.0005691097731275002,0.0004148185395802335,0.0002605385400033167,0.1058903817606199,0.0001401502420351583,0.001004857012367731
0.1_5B57_5B57.2.109.gene,0.0002943555463455109,0.000686958873450404,0.0001971524834972267,0.1012859712765598,0.0001320317606249661,0.0002378540120268523
0.1_5B57_5B57.2.11.gene,3.380379829787728e-05,2.16745176703727e-05,1.6276148245268e-05,0.1003008560543725,4.980553969917865e-05,0.0001668639437171327
0.1_5B57_5B57.2.110.gene,0.0002543113556216712,0.0004644074990672785,0.0003726984789750484,0.1018539096203842,0.0001027492719886728,0.0004200992801668016
0.1_5B57_5B57.2.111.gene,0.0001908609668090034,1.542630344913571e-06,1.373699708972914e-05,0.1354814806911236,5.637986906991522e-06,0.000386358189245657
0.1_5B57_5B57.2.112.gene,0.0001590581475956952,1.616669664804665e-05,1.903900350611399e-05,0.1058873431846793,5.579121229366703e-05,0.0002662995684596473
0.1_5B57_5B57.2.113.gene,4.867116170835232e-05,5.169399772639435e-06,1.352047885354166e-05,0.1020219605007489,1.642320687051501e-05,0.0001321404800580951
0.1_5B57_5B57.2.114.gene,0.0003297858124708951,0.0006276357337568847,0.001096274832667961,0.1006557716502456,0.0001566853633074447,0.0005692103382493192
0.1_5B57_5B57.2.115.gene,0.0001117914880465698,9.949773175587866e-05,0.0002263422103289564,0.105318354983433,0.0001034052683864113,0.003196951335854064
0.1_5B57_5B57.2.116.gene,0.0001330413520504725,3.968949943013099e-05,5.223097452536416e-05,0.1020386137310394,4.157607624972382e-05,0.001198248699521695
0.1_5B57_5B57.2.117.gene,1.102675616776881e-05,2.318406432384609e-05,7.220852260343016e-06,0.1005379942355872,1.678023337043409e-05,8.463865237066518e-05
0.1_5B57_5B57.2.118.gene,4.214194206695663e-05,7.818265126397041e-05,1.433985959849256e-05,0.1010030051152522,2.882248968598232e-05,0.0002700231090999931
0.1_5B57_5B57.2.119.gene,1.274475807668976e-05,9.317117031269428e-06,1.15571822497456e-05,0.1009158986408005,1.648930210405408e-05,0.001545334911309374
0.1_5B57_5B57.2.12.gene,8.960689670510635e-05,0.0001142056034281969,0.0003366413084350857,0.1018030559697284,3.957053604704263e-05,0.0007909661985977073
0.1_5B57_5B57.2.120.gene,3.471983684507464e-06,5.452927331226135e-07,2.195773183003069e-05,0.1028969423892304,2.61609783536953e-06,0.0007255148303729458
0.1_5B57_5B57.2.121.gene,3.837920714025162e-06,7.499251958623325e-06,4.613029218305712e-06,0.1049456814459129,2.123079666492743e-06,0.0001488451055782742
0.1_5B57_5B57.2.122.gene,1.396885973155527e-05,1.090378782249286e-05,5.154983787533679e-06,0.1122325266145056,6.065437990183369e-06,0.0003010004100296286
0.1_5B57_5B57.2.123.gene,5.165076684534905e-06,4.705005716550472e-06,3.441115069360605e-06,0.1021262840801171,1.825257885177278e-06,0.0002048119209899094
0.1_5B57_5B57.2.124.gene,5.411256982062797e-05,7.545352213831098e-05,9.695091000431619e-05,0.1136706704972376,5.521557202841397e-05,0.0004515918504955569
0.1_5B57_5B57.2.125.gene,0.0001024001042380193,3.889657267824224e-05,8.393158316000837e-05,0.1043939761488218,0.0001072090985355198,0.0005726079839443107
0.1_5B57_5B57.2.126.gene,0.0002507895603518401,0.0001663976544672573,0.0002024069472688505,0.101585429069914,3.049673736552747e-05,0.0006843498413627443
0.1_5B57_5B57.2.127.gene,6.308073082467233e-05,0.000118824193336586,0.0001003577007005481,0.1440271429652828,2.862859103896496e-05,0.0003638334516732242
0.1_5B57_5B57.2.128.gene,3.194754124251824e-06,4.778759438034146e-05,6.046680303532648e-06,0.1188001955142397,4.843388914917363e-06,0.0004560188862200444
0.1_5B57_5B57.2.129.gene,7.609477112803218e-05,6.448341512417833e-05,2.313700624087166e-05,0.101307854801025,1.569137315321191e-05,0.001135035078311184
0.1_5B57_5B57.2.13.gene,2.065871402223366e-05,3.613105138775453e-05,1.224332601286031e-05,0.1214081791704719,8.271953623838703e-06,3.390002616453576e-05
0.1_5B57_5B57.2.130.gene,7.299452983853607e-06,4.03438644812436e-06,2.426956128601918e-06,0.1123241398756131,6.375779204342446e-07,7.545853678488895e-05
0.1_5B57_5B57.2.131.gene,2.573761938871217e-07,3.232749697714488e-07,5.468953996637958e-06,0.102734107748964,1.300023464442782e-06,0.0001250884709194895
0.1_5B57_5B57.2.132.gene,2.339471871363678e-05,7.401360282603937e-05,7.95274642273694e-05,0.1073303660042703,2.537687725028088e-05,0.0002442960466513034
