GeneID,4EFB,5408,5728,5B57,56E0,5411
0.01_5408_5408.03.1.gene,1.602769208127064e-10,0.0110147233775717,3.631766658006566e-06,6.579602366199296e-07,5.339147880425057e-13,1.681740202524868e-08
0.01_5408_5408.03.10.gene,8.106687343517614e-07,0.01326518249811236,1.329966228223312e-08,5.894703339075241e-06,5.597320263123767e-15,0.0003402828000836625
0.01_5408_5408.03.100.gene,1.096166820311013e-09,3.652326231516031e-08,1.614377874715755e-16,1.670999667359909e-10,2.203669232123663e-10,1.226931685470999e-06
0.01_5408_5408.03.101.gene,1.415773006013493e-08,3.890637272788022e-08,4.691021932374372e-06,6.210798240734385e-07,3.092110468621418e-09,3.043276981517233e-07
0.01_5408_5408.03.102.gene,5.227027722503783e-06,0.01077205272919413,1.480056206607672e-05,6.995013235666889e-07,5.575460284660696e-06,3.700193146558696e-05
0.01_5408_5408.03.103.gene,2.90285989156998e-06,0.0006160953676183232,1.259894737695492e-08,3.602932137981228e-14,1.560127069389148e-09,6.375753173185717e-07
0.01_5408_5408.03.104.gene,1.648712364218752e-06,0.01019885101450649,8.18128535787015e-09,1.643035631913449e-09,1.315663668380205e-05,0.0001126616591578461
0.01_5408_5408.03.105.gene,4.736512947926672e-05,0.01261697126540785,7.48891841870284e-06,3.641680918595462e-08,1.016316282092585e-09,0.0001732582063179248
0.01_5408_5408.03.106.gene,1.277925146604603e-05,0.01741394221891177,1.94888573333091e-08,5.520596384423074e-12,2.35641045395015e-12,0.0001926914298048201
0.01_5408_5408.03.107.gene,0.0001798874361616898,0.01078683862235285,2.486278819958577e-06,2.370209617160073e-07,3.392627119029567e-05,3.833607485178299e-05
0.01_5408_5408.03.108.gene,1.82083515448369e-08,0.01049820039812044,1.424686813561652e-05,1.727197887700363e-09,1.528993108915459e-07,6.459710115682796e-05
0.01_5408_5408.03.109.gene,3.84490287942131e-12,0.01205506586436539,1.109497198574967e-07,2.813817380163803e-07,2.29849414692983e-08,2.23479497402462e-05
0.01_5408_5408.03.11.gene,4.717744452156087e-19,0.01026627471980338,5.447682507915115e-09,3.374833619326931e-06,4.172284495733884e-09,1.272190595526939e-07
