GeneID,4EFB,5408,5728,5B57,56E0,5411
0.05_5B57_5B57.01.1.gene,0.0002276615929756771,6.06491262452387e-05,6.302340283547506e-05,0.0536936634264687,5.05286454470175e-05,0.00246450464031912
0.05_5B57_5B57.01.10.gene,0.0004614817011658487,8.963174052685741e-05,0.001422503012733531,0.05320764547003349,0.0001168120324080909,0.001670880619061951
0.05_5B57_5B57.01.100.gene,0.0005670386967056679,0.0004846991163799525,0.0009554951092565914,0.05078574159090524,0.0002346398423832395,0.003217535703748316
0.05_5B57_5B57.01.101.gene,0.000118518418193675,0.0001861343459900543,0.0001985205414913392,0.05478661005995716,0.0001079303353934814,0.0001854111814851624
0.05_5B57_5B57.01.102.gene,0.0001190057821835728,4.442217541087681e-05,7.983422052057781e-05,0.08538788721646821,5.967240801756312e-05,8.460701347480604e-05
0.05_5B57_5B57.01.103.gene,2.781880072433139e-06,1.436340233956671e-06,1.703038758276784e-06,0.05421563026210077,7.481597912849374e-07,0.0001604452524890027
0.05_5B57_5B57.01.104.gene,2.2169738509721e-05,9.341545802427363e-05,6.12540909813257e-05,0.05022691442166852,6.81771553674926e-06,3.541496934352874e-05
0.05_5B57_5B57.01.105.gene,0.0001737230696318644,0.0005379336269651172,0.0001437875992107272,0.05227785302606545,7.622533602109192e-05,0.000193663066473825
0.05_5B57_5B57.01.106.gene,4.062235930514357e-05,1.778624219708832e-06,2.415308820426489e-05,0.05740611071461253,2.281303746863182e-06,2.7251491920067e-05
0.05_5B57_5B57.01.107.gene,5.170068939078087e-05,1.424610611917876e-06,4.555742066256031e-06,0.05672243880377355,2.377559428248746e-06,8.168445163581028e-05
0.05_5B57_5B57.01.108.gene,9.304171698930545e-06,1.602926741957561e-05,4.444107143060552e-06,0.05098858642667525,3.922911542630208e-06,3.85935592478467e-05
0.05_5B57_5B57.01.109.gene,7.127509780313474e-06,2.434895427330393e-05,3.181053704777327e-06,0.05018523513293938,7.860665346116383e-06,0.0001366265497275296
0.05_5B57_5B57.01.11.gene,1.76234835663858e-05,2.304019073869985e-05,1.45833763969679e-05,0.06306901131626465,9.505203527137141e-06,0.001323552030242994
0.05_5B57_5B57.01.110.gene,9.138250615680615e-07,1.068452053491521e-06,2.635171932719283e-06,0.05980783346028123,8.927286042400817e-07,0.0002613569713106284
0.05_5B57_5B57.01.111.gene,0.0001398274914068774,0.0001574908151065727,9.515084892920044e-05,0.05271753919841467,1.377332521829602e-05,0.001279288240651734
0.05_5B57_5B57.01.112.gene,0.0001086275010816671,7.227155049732592e-05,4.574413431985676e-05,0.05739295069509039,1.316173829037863e-05,0.001063723326911671
0.05_5B57_5B57.01.113.gene,1.44242628735585e-06,3.017204140201186e-07,2.213166290106541e-05,0.06716548414741008,1.269883339936892e-05,0.001313718350524508
0.05_5B57_5B57.01.114.gene,0.0001112012105403655,0.0001374942360622741,7.674261027247144e-05,0.05750745342558747,4.07956075789401e-05,0.0006691939735070847
0.05_5B57_5B57.01.115.gene,0.0002159235547939065,3.459808701737673e-05,4.184904787784074e-05,0.05342837844509935,2.070270739112285e-05,0.0005192755412726754
0.05_5B57_5B57.01.116.gene,3.254739596856683e-07,5.028497752729647e-06,4.463751194631197e-06,0.05222251312502687,1.374047831031397e-06,0.0002142235235290113
0.05_5B57_5B57.01.117.gene,7.966806793188464e-05,2.77967845720346e-05,4.871349322588471e-06,0.0730019301532357,8.14286992941386e-06,3.162248680280888e-05
0.05_5B57_5B57.01.118.gene,4.488806577179714e-05,2.626186005415571e-05,2.926613256191735e-05,0.06314773638244643,5.852080720753142e-05,4.936178110088371e-05
0.05_5B57_5B57.01.119.gene,0.0003581829274271956,0.000254228290911299,0.0003045756434227503,0.05886062888094269,0.0001020437737635183,0.0022917301710187
0.05_5B57_5B57.01.12.gene,0.0001415296165149776,7.550820763327549e-05,0.0001787988410938627,0.05360185741567319,8.878465264264945e-05,0.0002830328106096353
0.05_5B57_5B57.01.120.gene,6.767827192727794e-07,2.361348147328626e-06,3.31925640080373e-06,0.05386295650766938,1.041046650256062e-06,0.0002939366805449459
0.05_5B57_5B57.01.121.gene,6.10956869491449e-05,7.312464905807889e-05,0.0002593890338467314,0.05904363583841884,4.194433142373891e-05,0.0002742030676215764
0.05_5B57_5B57.01.122.gene,2.799103126378091e-06,3.039800504689309e-05,1.179863128865896e-06,0.05033013556038876,8.849042588119655e-06,0.002081031510248911
0.05_5B57_5B57.01.123.gene,1.935960189205886e-06,7.634298291001932e-07,6.462183081690819e-06,0.0596506213870262,1.472565060145131e-06,7.592439773743076e-05
0.05_5B57_5B57.01.124.gene,0.0001365026697930263,0.0001004438358522505,0.0001068816416148789,0.05395818564525303,0.0001285375744123799,0.00166981312465748
0.05_5B57_5B57.01.125.gene,0.0004315945925980872,5.225997554166391e-05,0.000449617691867177,0.05329082079898294,2.213219269479209e-05,0.001764505597240222
0.05_5B57_5B57.01.126.gene,3.530975935702771e-05,1.202544474084801e-05,3.33512720284704e-06,0.06442646194038994,1.59214180607468e-05,8.623144576512621e-05
0.05_5B57_5B57.01.127.gene,3.076229251409519e-05,3.288811287655694e-05,0.0002306607945426478,0.0533404643108557,7.442547800872621e-05,0.0002732297285044681
0.05_5B57_5B57.01.128.gene,1.980700852134455e-05,8.055213477150963e-06,9.752483102319292e-06,0.05503922609103792,3.096935844981031e-06,0.0008406492488459374
0.05_5B57_5B57.01.129.gene,8.616749513058383e-05,4.475430533244119e-05,6.761287441840989e-05,0.05299476912427494,3.209524656667678e-05,0.0002465567682502538
0.05_5B57_5B57.01.13.gene,2.68912359589307e-06,3.22662473952595e-06,2.474647982249084e-05,0.05585780396030238,1.516252576951823e-06,0.0001375394279884411
0.05_5B57_5B57.01.130.gene,1.001586556592586e-06,2.507906824581764e-07,6.938710371824345e-06,0.05030428304107674,3.973636548235788e-06,0.0007204035904367684
0.05_5B57_5B57.01.131.gene,6.204990132503384e-05,6.888816333883218e-06,3.410987456474503e-05,0.05106804327527883,1.049245975025941e-05,0.0003569032222243988
0.05_5B57_5B57.01.132.gene,1.148949020674713e-05,7.333442905120873e-07,7.375772943171187e-06,0.05357230902350201,1.823369986280508e-06,0.0001397401405821217
0.05_5B57_5B57.01.133.gene,0.0001454496629835632,5.930197501319557e-06,6.785362128159262e-05,0.05101319270968738,1.064434496945819e-05,0.0009049842520749437
0.05_5B57_5B57.01.134.gene,0.0006889428949208753,3.556970306375358e-05,0.001235871394202721,0.05001225682368182,0.0006197411519830177,0.000472968686976696
0.05_5B57_5B57.01.135.gene,4.851938991231148e-06,6.059041041065986e-07,6.499618645597487e-06,0.0510839961252092,5.100209226604622e-06,0.001240485250829664
0.05_5B57_5B57.01.136.gene,5.652112094500349e-05,7.885826146744073e-05,2.137458584979538e-05,0.059473085236269,7.21479741464748e-05,0.0003309486462808158
0.05_5B57_5B57.01.137.gene,5.771696005381518e-05,0.0001764471972108906,0.0001158407319876861,0.0692965868277747,5.166106015670579e-05,0.001351588734845216
0.05_5B57_5B57.01.138.gene,7.867174423770809e-05,9.094286684801427e-05,8.031089422246636e-05,0.05313975115932359,2.392118480953894e-05,0.001041159991880737
0.05_5B57_5B57.01.139.gene,0.0001112717387690015,8.077494710877125e-05,3.464458772159733e-05,0.05154576330509274,2.776490486472223e-05,0.0008303250036174925
0.05_5B57_5B57.01.14.gene,8.170230107794312e-05,4.076018208030088e-05,3.522573822334761e-05,0.0689666735270232,1.953560234409572e-05,0.0002218055438744703
0.05_5B57_5B57.01.140.gene,0.0001319738807780784,0.0001886865555638906,7.617403996762206e-05,0.05721107857774224,3.953990701624666e-05,0.0009668719079622252
0.05_5B57_5B57.01.141.gene,7.620687758594125e-05,4.432292376253351e-05,7.819317075387828e-06,0.05051737285095962,1.396376325632025e-06,0.0002452906565215812
0.05_5B57_5B57.01.142.gene,6.254642846240731e-05,0.0002476636368637799,1.686899560360278e-05,0.05028672495929479,2.756589961822139e-06,0.0005761573012799729
0.05_5B57_5B57.01.143.gene,4.734524432458204e-05,4.771610457718158e-06,1.267154826440629e-05,0.05908094319029238,1.157784609521074e-05,0.001036895411660009
0.05_5B57_5B57.01.144.gene,5.785958982166751e-05,2.460249085346532e-05,7.745590817989723e-05,0.07175734193102515,1.780132814840154e-05,0.0006505274749222905
0.05_5B57_5B57.01.145.gene,0.001250408825699763,9.889049292017004e-05,7.566713603627e-05,0.05348453799785745,2.425499654403105e-05,0.0003423854907029011
0.05_5B57_5B57.01.146.gene,0.0002467070689025279,0.001007820017444848,0.0001024066897117565,0.057948461920222,0.0005000130682726185,0.0001791286810551408
0.05_5B57_5B57.01.147.gene,0.0004639544261524945,4.468445704761833e-05,0.0001206831012504046,0.06453697301111126,1.831389603346448e-05,0.002652671966659681
0.05_5B57_5B57.01.148.gene,5.547979609582333e-05,2.360494942614903e-05,4.447517263723178e-05,0.05598712200628101,2.706126099368985e-06,0.0001019533443377968
0.05_5B57_5B57.01.149.gene,0.0018144805819592,0.0004888903229842617,0.0006772746010050572,0.0536558373781575,0.0001921161454283291,0.0007810126141074793
0.05_5B57_5B57.01.15.gene,0.0005454880821691748,2.503391865433055e-05,0.0005601811755759264,0.06325400106309233,8.241524369562653e-05,0.0002432072899745728
0.05_5B57_5B57.01.150.gene,0.0002349040323899085,0.0001651435914007896,0.0005617469866518869,0.05683533577784197,9.795364289718518e-05,0.0009435802583985133
0.05_5B57_5B57.01.151.gene,0.0001089406578106221,0.0002447334727296487,0.0002152133647100338,0.07313836536273481,0.0001467781964038892,0.0004068142697472852
0.05_5B57_5B57.01.152.gene,8.36145963953253e-06,4.639441973646636e-06,1.87174898059425e-06,0.05453826070163415,2.723047125268137e-06,0.0001669484005532524
0.05_5B57_5B57.01.153.gene,0.0004926498698598017,0.0007500900708804277,0.000425858616118164,0.05206532937298507,0.0001226852824379548,0.0003753083560798945
0.05_5B57_5B57.01.154.gene,0.0001029381473292419,1.867210345739037e-05,4.192495111855183e-05,0.05045011603797685,3.438012799327993e-05,0.0003044547126691146
0.05_5B57_5B57.01.155.gene,3.369962180077801e-05,7.237121584970076e-05,8.417321796202288e-05,0.05586817206047343,4.959033344830815e-05,0.000197404261779546
0.05_5B57_5B57.01.156.gene,0.0001770903525955291,2.544267730372976e-05,0.0001053290452975914,0.06655125233988665,6.108021679113777e-05,0.001116737857799412
0.05_5B57_5B57.01.157.gene,0.0001637578565561362,1.34820889846293e-05,4.985235428178988e-05,0.05156269302986336,5.173155649769554e-06,0.0001157018349004871
0.05_5B57_5B57.01.158.gene,0.0003172975870479253,9.686316869982365e-05,3.052356460358199e-05,0.05310349026644968,7.151193084416442e-05,0.0006833496207004746
0.05_5B57_5B57.01.159.gene,3.490540825636769e-05,6.466690866875442e-06,1.251634234743685e-05,0.05031029188897906,1.680864623813875e-05,0.0003059882273058697
0.05_5B57_5B57.01.16.gene,5.983055213335518e-06,3.685188394879933e-06,1.509144619906336e-05,0.05158422576646167,5.293956904439495e-06,5.291513425973497e-05
0.05_5B57_5B57.01.160.gene,0.0004671793041814184,8.474242925803858e-05,0.0004392369687213869,0.06073848353832136,0.0002985501838579301,0.005578340998573706
0.05_5B57_5B57.01.161.gene,0.0001230299265228409,5.637028570145207e-05,0.0001233341621483973,0.05719452035290316,5.174311421413763e-05,0.000195806206035839
0.05_5B57_5B57.01.162.gene,8.777196249477736e-06,3.019983484958039e-06,5.954277756793127e-06,0.05703516860344664,4.298526547108655e-06,0.00068028457194589
0.05_5B57_5B57.01.163.gene,5.048420619516463e-05,5.184991403257652e-05,2.53409138234764e-05,0.05224992319743198,2.083059056093923e-05,0.0001061447260495675
0.05_5B57_5B57.01.164.gene,3.516886635987231e-07,1.02866415784357e-06,1.600751508292695e-05,0.05002235777214232,1.959431523902702e-06,0.0003114597883039886
0.05_5B57_5B57.01.165.gene,0.0008043294570525096,7.084717967562557e-05,8.491900655168058e-05,0.05272660510665799,1.470398945648607e-05,0.0006792176392575877
0.05_5B57_5B57.01.166.gene,0.0004149869853986919,0.0001676443132902593,6.612601187209219e-05,0.05198532148667733,2.175173071600181e-05,0.0008447367670818362
0.05_5B57_5B57.01.167.gene,0.0005595504715204551,1.790497473845761e-05,4.485955234420287e-05,0.06164135872953409,7.93486818872665e-05,0.0008297251549057506
0.05_5B57_5B57.01.168.gene,9.389142838509396e-06,5.403918607912803e-05,1.838736419907348e-05,0.05468165280958676,4.890674202656047e-05,4.774226421801581e-05
0.05_5B57_5B57.01.169.gene,4.36019571245383e-05,8.922079667778905e-05,1.782898959326739e-05,0.05007723020749352,1.233425151758122e-05,0.0001486744699962962
0.05_5B57_5B57.01.17.gene,3.374160669201396e-05,1.635333800284121e-06,7.503071849185709e-07,0.05436075859389448,1.957268638044291e-06,6.91435925784121e-05
0.05_5B57_5B57.01.170.gene,0.000175554745934937,0.0003343095054514607,0.0003922971429822362,0.05335768398785765,0.0003168704336293549,0.000429625425559426
0.05_5B57_5B57.01.171.gene,3.617139979403423e-05,9.024082000187452e-05,0.0001442154734918573,0.05029639809556233,2.977138866132979e-05,0.0006199014889647352
0.05_5B57_5B57.01.172.gene,0.003361011523792171,0.0008593636901310441,0.0002911283612356031,0.05011799740038903,0.0002980545774759234,0.004501785165235692
0.05_5B57_5B57.01.173.gene,0.0001346207177735834,1.047991927390759e-05,1.644597272147439e-05,0.05080673812998135,1.025477237228335e-05,0.000497448538784363
0.05_5B57_5B57.01.174.gene,5.992552353542255e-06,5.928220562074647e-07,1.056610800570522e-05,0.05800920605456841,1.650202541345024e-06,0.0001493653701288302
0.05_5B57_5B57.01.175.gene,0.0001064246774282051,0.0001377564070533728,0.0001521096580667933,0.05284012279416656,0.0001136232299682425,0.0002514147935354697
0.05_5B57_5B57.01.176.gene,0.0002708293489371042,0.0001476604213571389,0.0003511176200234532,0.05072815263091229,0.0001866674110548621,0.001020602939166729
0.05_5B57_5B57.01.177.gene,1.021066280155422e-05,3.950165432303864e-06,9.694002659791348e-06,0.0534973634095942,5.066180951210336e-06,0.0008570751316662539
0.05_5B57_5B57.01.178.gene,7.295755824460067e-06,1.384177549396267e-05,1.698525845732585e-05,0.05245270864551537,2.781963713190593e-06,0.000200147314611655
0.05_5B57_5B57.01.179.gene,0.0003193226984342551,0.000475625692272408,0.0004183764909082064,0.05600027715373376,0.0002063148805393232,0.0008407366993687768
0.05_5B57_5B57.01.18.gene,0.0001033549392436648,0.0001863458190078776,0.0001410532216565813,0.0668208786072143,3.182695538953902e-06,0.0003012057598711887
0.05_5B57_5B57.01.180.gene,0.0004552313524797751,0.0002628842314040713,0.0005082155398579167,0.05290040254969759,9.346535742931316e-05,0.002405880959019196
0.05_5B57_5B57.01.181.gene,0.0003339053412661335,2.04243155737186e-05,0.0002276973088545614,0.05030523219455519,1.943541844270012e-05,8.423784373790372e-05
0.05_5B57_5B57.01.182.gene,9.059395723231628e-05,2.685480335416155e-05,2.08085582517638e-05,0.05038869924766642,2.917769402582265e-05,0.0004057878211364112
0.05_5B57_5B57.01.183.gene,2.486499064101736e-06,8.194390442222288e-06,3.205347532783232e-06,0.05766025872554785,6.597982382448003e-06,0.0003483581116863273
0.05_5B57_5B57.01.184.gene,9.666309323925918e-06,1.156835138817851e-05,3.970814175253381e-05,0.05270204103823663,3.905840755198304e-05,0.001344173770792508
0.05_5B57_5B57.01.185.gene,8.756283497883391e-06,3.461560845813008e-05,6.088735416826411e-06,0.05053436889587129,5.103940993317128e-06,0.0001762892474538979
0.05_5B57_5B57.01.186.gene,8.403388896035377e-06,5.413171775305983e-07,3.480305987892452e-06,0.05720306333916102,2.020137707949525e-06,0.0003169258388270878
0.05_5B57_5B57.01.187.gene,4.728151827044443e-05,6.836203710013666e-05,0.0001785181331036849,0.06197942232832258,4.317878073299575e-05,0.0001997804803679503
0.05_5B57_5B57.01.188.gene,0.0001220014158961907,8.479639966202486e-06,5.601194829289338e-05,0.05090758799516597,1.385911860607791e-05,0.0004294793072674077
0.05_5B57_5B57.01.189.gene,3.85132213474733e-05,6.296448074477014e-05,3.214475234395566e-05,0.05127802138677719,2.021489581398081e-05,0.0005247900122849836
0.05_5B57_5B57.01.19.gene,4.001155429724291e-05,1.976543268638078e-05,3.221018777415612e-05,0.05115656636192031,5.732370959012316e-06,0.0001593785235450759
0.05_5B57_5B57.01.190.gene,2.777868061156512e-05,8.13008643452085e-06,5.242192609448306e-06,0.05878668677240497,6.497736032009205e-06,4.999535689349917e-05
0.05_5B57_5B57.01.191.gene,3.556660097334722e-05,1.853819891616401e-05,1.32952478783129e-05,0.05095181817360883,1.570164992871911e-05,0.0001092017558377586
0.05_5B57_5B57.01.192.gene,2.862362730058127e-05,1.818443319236378e-05,2.001503988305932e-05,0.05915518567838377,3.181383671511941e-05,0.0002027013011843438
0.05_5B57_5B57.01.193.gene,3.908181049418454e-05,0.0001151397811505749,3.682990755704549e-06,0.05196096476808727,2.54239556088255e-06,0.0004862914062878355
0.05_5B57_5B57.01.194.gene,8.502569280956377e-05,6.021622649016426e-05,9.181048096642187e-05,0.05392416256934508,5.83792468352477e-05,0.001820725556564708
0.05_5B57_5B57.01.195.gene,1.801947462604297e-05,8.57631499776439e-05,1.036056939020585e-05,0.05190573425524563,1.770477475469463e-05,0.0004721383515318209
0.05_5B57_5B57.01.196.gene,9.891029640357515e-05,2.718617023051223e-05,5.401794513219425e-05,0.05049956198005948,2.357082967657572e-05,9.479599201163744e-05
0.05_5B57_5B57.01.197.gene,3.200066848806486e-06,2.056268805351316e-06,2.224010369841171e-05,0.0540382521785459,5.092819599369531e-06,9.6587377619704e-05
0.05_5B57_5B57.01.198.gene,3.284882727639616e-06,1.013086893477646e-06,1.769104756694474e-06,0.05180939680775706,7.807626079829282e-06,0.0001281867782177368
0.05_5B57_5B57.01.199.gene,9.755398828033323e-05,0.0001424835790246639,0.0002520858654872327,0.05464092529008681,0.0001226700732914897,0.0002602644633599364
0.05_5B57_5B57.01.2.gene,0.000312801392754028,4.324394444792649e-05,3.748313903490728e-05,0.05574489728492148,3.195597306523727e-05,0.0004370481218075271
0.05_5B57_5B57.01.20.gene,0.0001420697447260312,1.878584733992223e-05,6.20967512295931e-05,0.05127101666555878,5.385550342060988e-05,0.0008457617109430907
0.05_5B57_5B57.01.200.gene,1.097824635692362e-05,1.074493397286366e-06,4.968978666597153e-06,0.05103432150139113,1.46427020950071e-06,0.0001246127843080877
0.05_5B57_5B57.01.21.gene,0.0001973475157086891,3.292864860862468e-05,5.078232451816277e-05,0.05342001122721752,7.085098696975082e-06,0.0001872652057983474
0.05_5B57_5B57.01.22.gene,6.380650773712389e-05,2.522771470795841e-05,7.496500014462643e-05,0.05231083170609288,0.0001487410257139979,0.0003357014281095756
0.05_5B57_5B57.01.23.gene,1.35013525600343e-05,2.817954535086388e-05,7.132008177980209e-06,0.05520963059752248,7.983381559556557e-06,6.863884356743315e-05
0.05_5B57_5B57.01.24.gene,0.0001024550296633859,3.634492434813887e-05,0.0001031588021771076,0.05211767189562003,4.519471039268486e-05,0.00119839304026277
0.05_5B57_5B57.01.25.gene,0.0001912075370848184,1.936411827237674e-06,7.942136636838334e-05,0.06992406548929489,4.228408960873822e-05,0.0002902666675984401
0.05_5B57_5B57.01.26.gene,2.197611629631747e-05,1.417771044003884e-05,6.032214940055025e-06,0.06257789713159545,5.162433604774993e-06,0.003479193735867549
0.05_5B57_5B57.01.27.gene,0.0001715388210162723,6.485163575951841e-05,0.0001323569440278173,0.06391483024044185,8.844006481181934e-05,0.0002320572176359271
0.05_5B57_5B57.01.28.gene,0.00010815527967652,6.972235551042783e-05,0.0002019477398640619,0.05427731762924873,2.652307184058679e-05,0.0002541784429345212
0.05_5B57_5B57.01.29.gene,1.337050148354334e-05,0.0002478873192955352,7.036834363280883e-05,0.06082049106480997,6.08959881783983e-05,0.0004762916944454003
0.05_5B57_5B57.01.3.gene,3.932529988662135e-05,0.0002263986973350228,8.761320776663447e-05,0.05164226536332608,0.0002291018466409959,0.0008939562158489298
0.05_5B57_5B57.01.30.gene,7.473830450159355e-05,0.0001406419183539493,0.0003208301114527312,0.05397072625687435,1.907524691325944e-05,0.0002262883631893771
0.05_5B57_5B57.01.31.gene,2.21395948182482e-06,7.905439310841192e-07,5.446977638709453e-06,0.05115755277579661,2.314048529241459e-05,0.0005609974446930999
0.05_5B57_5B57.01.32.gene,5.790181949519666e-05,6.074091686015836e-05,4.193387737102415e-05,0.05738750669216018,1.292038544988102e-05,0.0005745923297948429
0.05_5B57_5B57.01.33.gene,0.0003223906383181035,3.099372523151777e-05,0.001047543835799839,0.05502423079423373,9.674433812930729e-05,0.0008719318426257227
0.05_5B57_5B57.01.34.gene,0.0001360307113994981,1.986234456538256e-05,9.107299089604917e-05,0.05619271885031615,9.699168155603106e-05,0.006462068432694
0.05_5B57_5B57.01.35.gene,5.548676046826651e-06,8.147070971202499e-06,4.926465940546229e-06,0.05107188987434937,4.398497514351527e-06,2.052946582496131e-05
0.05_5B57_5B57.01.36.gene,0.0005644382249891869,0.00090314565201283,0.0005419168148200238,0.05474532323738548,0.0002781782260435375,0.0002967386791523824
0.05_5B57_5B57.01.37.gene,7.643909036949474e-05,2.814726004456079e-05,2.102868744543097e-05,0.05648524904709248,6.092502788785389e-05,0.0005113859059936579
0.05_5B57_5B57.01.38.gene,0.0002521676607283753,0.0003228740817414134,0.000245236177993566,0.05421454598166871,9.311032133909588e-05,0.0005021739227086535
0.05_5B57_5B57.01.39.gene,4.996563711080796e-06,3.783027924569948e-07,1.748978307913351e-06,0.05926027088835305,2.446144149348424e-07,4.764887899707734e-05
0.05_5B57_5B57.01.4.gene,2.96199190318356e-05,0.0002988858244065627,0.0003044429753358897,0.05092163765040422,0.0003921055289347963,0.0006049820881187329
0.05_5B57_5B57.01.40.gene,1.752097326940582e-06,6.992073208355419e-06,7.293237173369208e-06,0.05357070787742199,6.43038627710251e-06,0.00110635036542263
